kew_internal_concept_db,kew_internal_concept_id,kingdom,phylum,h_class,h_order,family,genus,species,infraspecific_type,infraspecific_description,author,taxonomic_status,med_ref_count,med_ref_count_for_synonyms,confidence_level,unii,kew_internal_species_concept_identifier,kew_internal_name_identifier
tro,tro-8500071,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Merremia,hederacea,,,(Burm. f.) Hallier f.,Accepted,1,0,M,,,270531-1
tro,tro-8500072,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Merremia,tridentata,,,(L.) Hallier f.,Accepted,2,4,M,,,270591-1
tro,tro-8500074,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Rivea,hypocrateriformis,,,Choisy,Accepted,1,0,M,,,
tro,tro-8500113,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Calystegia,sepium,,,(L.) R. Br.,Accepted,2,0,M,,,30033025-2
tro,tro-8500138,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Convolvulus,laciniatus,,,Desr.,Accepted,0,1,M,,,
tro,tro-8500242,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Evolvulus,gypsophiloides,,,Moric.,Accepted,2,0,M,,,268054-1
tro,tro-8500290,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,argentea,,,Meisn.,Accepted,0,1,M,,,
tro,tro-8500310,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,campestris,,,Meisn.,Accepted,1,0,M,,,
tro,tro-8500311,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,capillacea,,,(Kunth) G. Don,Accepted,0,1,M,,,
tro,tro-8500326,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,conzattii,,,Greenm.,Accepted,1,0,M,,,129273-2
tro,tro-8500341,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,dumetorum,,,Willd. ex Roem. & Schult.,Accepted,1,0,M,,,268801-1
tro,tro-8500346,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,emetica,,,Choisy,Accepted,1,0,M,,,268822-1
tro,tro-8500374,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,hieronymi,,,(Kuntze) O'Donell,Accepted,1,0,M,,,129387-2
tro,tro-8500413,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,nitida,,,Griseb.,Accepted,1,0,M,,,269388-1
tro,tro-8500454,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,rosea,,,Choisy,Accepted,1,0,M,,,
tro,tro-8500467,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,simulans,,,D. Hanb.,Accepted,1,0,M,,,302945-2
tro,tro-8500472,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,stans,,,Cav.,Accepted,5,0,M,989J491UDU,,
tro,tro-8500612,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Aniseia,martinicensis,,,(Jacq.) Choisy,Accepted,0,1,M,,,
tro,tro-8500618,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Calystegia,longipes,,,(S. Watson) Brummitt,Accepted,1,0,M,,,43566-2
tro,tro-8500629,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Calystegia,occidentalis,,,(A. Gray) Brummitt,Accepted,0,0,M,,,
tro,tro-8500631,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Calystegia,occidentalis,subsp.,fulcrata,(A. Gray) Brummitt,Accepted,1,0,L,,tro-8500629,43581-2
tro,tro-8500633,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Calystegia,pubescens,,,Lindl.,Accepted,0,1,M,,,
tro,tro-8500660,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Cuscuta,californica,,,Hook. & Arn.,Accepted,1,0,M,,,
tro,tro-8500663,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Cuscuta,campestris,,,Yunck.,Accepted,2,1,M,,,72786-2
tro,tro-8500667,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Cuscuta,compacta,,,Juss. ex Choisy,Accepted,1,0,M,,,
tro,tro-8500683,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Cuscuta,gronovii,,,Willd. ex Roem. & Schult.,Accepted,1,0,M,,,72854-2
tro,tro-8500687,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Cuscuta,indecora,,,Choisy,Accepted,1,0,M,,,72866-2
tro,tro-8500694,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Cuscuta,obtusiflora,,,Kunth,Accepted,1,0,M,,,72898-2
tro,tro-8500714,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Evolvulus,nummularius,,,(L.) L.,Accepted,1,0,M,,,102674-2
tro,tro-8500716,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Evolvulus,sericeus,,,Sw.,Accepted,0,1,M,,,
tro,tro-8500717,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,alba,,,L.,Accepted,3,1,M,F651X697DN,,129128-2
tro,tro-8500721,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,batatas,,,(L.) Lam.,Accepted,0,1,M,,,
tro,tro-8500728,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,macrorhiza,,,Michx.,Accepted,1,0,M,,,129468-2
tro,tro-8500732,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,obscura,,,(L.) Ker Gawl.,Accepted,3,0,M,,,269406-1
tro,tro-8500734,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,pandurata,,,(L.) G. Mey.,Accepted,1,0,M,,,269459-1
tro,tro-8500740,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,sagittata,,,Poir.,Accepted,1,0,M,,,
tro,tro-8500749,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,tiliacea,,,(Willd.) Choisy,Accepted,1,0,M,,,269949-1
tro,tro-8500753,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,triloba,,,L.,Accepted,2,0,M,,,129763-2
tro,tro-8500757,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Ipomoea,violacea,,,L.,Accepted,3,0,M,,,270063-1
tro,tro-8500762,Plantae,Angiospermae,Eudicots,Solanales,Convolvulaceae,Jacquemontia,ovalifolia,,,(Choisy) Hallier f.,Accepted,0,0,M,,,
